date,open,high,low,close
20230705,2593.47,2601.99,2578.66,2579.0
20230706,2574.75,2575.45,2550.67,2556.29
20230707,2547.41,2547.41,2515.07,2526.71
20230710,2528.08,2539.63,2517.67,2520.7
20230711,2538.84,2562.49,2534.48,2562.49
20230712,2557.61,2574.73,2554.26,2574.72
20230713,2589.89,2602.21,2587.75,2591.23
20230714,2607.47,2628.3,2603.36,2628.3
20230717,2617.67,2627.12,2611.55,2619.0
20230718,2624.59,2626.89,2600.67,2607.62
20230719,2622.24,2622.54,2598.52,2608.24
20230720,2595.38,2611.34,2589.29,2600.23
20230721,2581.06,2609.76,2570.58,2609.76
20230724,2608.47,2636.06,2595.21,2628.53
20230725,2643.35,2646.71,2621.6,2636.46
20230726,2638.76,2639.21,2580.98,2592.36
20230727,2599.82,2617.61,2586.36,2603.81
20230728,2593.67,2609.54,2586.33,2608.32
20230731,2628.87,2639.45,2622.21,2632.58
20230801,2644.34,2668.21,2639.1,2667.07
20230802,2651.53,2660.9,2611.77,2616.47
20230803,2624.76,2625.45,2591.3,2605.39
20230804,2606.17,2612.3,2598.38,2602.8
20230807,2591.58,2607.36,2580.71,2580.71
20230808,2598.29,2601.41,2568.15,2573.98
20230809,2580.6,2608.98,2576.21,2605.12
20230810,2592.4,2601.56,2590.02,2601.56
20230811,2611.25,2616.84,2589.94,2591.26
20230814,2586.51,2592.91,2561.88,2570.87
20230816,2550.13,2550.53,2520.87,2525.64
20230817,2512.92,2520.56,2482.06,2519.85
20230818,2495.18,2519.6,2489.63,2504.5
20230821,2511.7,2524.41,2505.59,2508.8
20230822,2528.39,2533.43,2509.53,2515.74
20230823,2510.0,2517.51,2499.89,2505.5
20230824,2531.78,2539.44,2520.73,2537.68
20230825,2505.39,2526.37,2502.05,2519.14
20230828,2534.42,2543.41,2525.64,2543.41
20230829,2550.76,2556.98,2545.27,2552.16
20230830,2575.42,2578.62,2561.22,2561.22
20230831,2564.45,2568.06,2547.72,2556.27
20230901,2551.93,2568.42,2551.04,2563.71
20230904,2566.93,2584.55,2560.32,2584.55
20230905,2578.91,2586.65,2575.19,2582.18
20230906,2577.41,2585.98,2560.09,2563.34
20230907,2554.87,2562.42,2539.24,2548.26
20230908,2546.07,2550.96,2530.05,2547.68
20230911,2549.88,2556.89,2540.44,2556.88
20230912,2566.42,2568.55,2535.15,2536.58
20230913,2536.22,2549.38,2528.18,2534.7
20230914,2544.89,2572.89,2541.11,2572.89
20230915,2574.98,2611.0,2572.37,2601.28
20230918,2588.69,2596.55,2573.26,2574.72
20230919,2579.36,2583.25,2555.46,2559.21
20230920,2556.55,2566.62,2551.12,2559.74
20230921,2544.81,2549.63,2514.96,2514.97
20230922,2491.45,2513.26,2486.14,2508.13
20230925,2504.1,2509.38,2486.44,2495.76
20230926,2493.64,2495.0,2461.59,2462.97
20230927,2447.99,2469.72,2445.51,2465.07
20231004,2435.78,2435.78,2402.84,2405.69
20231005,2423.35,2426.61,2402.5,2403.6
20231006,2408.81,2421.18,2403.92,2408.73
20231010,2436.58,2448.24,2402.44,2402.58
20231011,2436.52,2463.56,2436.52,2450.08
20231012,2465.19,2479.82,2464.84,2479.82
20231013,2460.85,2466.62,2452.83,2456.15
20231016,2442.43,2453.77,2422.52,2436.24
20231017,2454.14,2466.87,2449.42,2460.17
20231018,2452.05,2465.33,2450.78,2462.6
20231019,2431.92,2433.45,2412.55,2415.8
20231020,2391.54,2394.67,2364.01,2375.0
20231023,2370.07,2375.79,2354.7,2357.02
20231024,2371.55,2384.14,2326.67,2383.51
20231025,2389.23,2389.9,2362.69,2363.17
20231026,2325.82,2330.55,2299.08,2299.08
20231027,2311.59,2321.84,2293.05,2302.81
20231030,2292.34,2317.75,2292.34,2310.55
20231031,2318.39,2322.45,2273.97,2277.99
20231101,2292.89,2312.15,2288.64,2301.56
20231102,2334.96,2351.91,2333.41,2343.12
20231103,2365.59,2370.28,2351.83,2368.34
20231106,2399.8,2502.37,2395.03,2502.37
20231107,2476.35,2476.35,2418.74,2443.96
20231108,2460.22,2468.43,2418.14,2421.62
20231109,2425.93,2437.9,2413.04,2427.08
20231110,2406.4,2413.62,2393.64,2409.66
20231113,2431.24,2435.32,2399.04,2403.76
20231114,2424.93,2442.37,2422.97,2433.25
